RCPT_YR,CGG_NM,STDG_NM,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,종로구,숭인동,,,,단독다가구,119.0,236.81,102000,20251110,1993,중개거래,서울 종로구
2025,종로구,창신동,,,,단독다가구,67.0,131.33,67000,20251112,1998,중개거래,서울 종로구
2025,종로구,체부동,,,,단독다가구,69.0,39.67,102000,20251112,1911,중개거래,서울 종로구
2025,종로구,누하동,,,,단독다가구,45.0,60.77,75000,20251115,1911,중개거래,서울 종로구
2025,종로구,창성동,,,,단독다가구,356.0,345.88,840000,20251115,1965,중개거래,서울 종로구
2025,종로구,창신동,,,,단독다가구,43.0,33.42,24500,20251115,1911,중개거래,서울 종로구
2025,종로구,평창동,,,,단독다가구,413.0,245.92,172000,20251121,1911,중개거래,"서울 강남구, 서울 종로구"
2025,종로구,충신동,,,,단독다가구,59.0,81.86,41000,20251122,1978,중개거래,서울 종로구
2025,종로구,가회동,,,,단독다가구,112.0,66.45,290000,20251128,1911,중개거래,"서울 마포구, 서울 종로구"
2025,종로구,가회동,,,,단독다가구,112.0,66.45,290000,20251128,1911,중개거래,"서울 마포구, 서울 종로구"
2025,종로구,명륜4가,,,,단독다가구,76.0,164.47,83500,20251129,1997,중개거래,서울 종로구
2025,종로구,필운동,,,,단독다가구,240.0,324.37,115060,20251201,1973,직거래,
2025,종로구,숭인동,,,,단독다가구,56.0,36.36,30000,20251205,1935,중개거래,서울 종로구
2025,종로구,숭인동,,,,단독다가구,27.0,16.53,28000,20251211,1911,중개거래,서울 종로구
2025,종로구,계동,,,,단독다가구,56.0,23.01,49000,20251215,1911,중개거래,서울 종로구
2026,종로구,신영동,,,,단독다가구,36.0,144.74,30000,20251217,2002,직거래,
2026,종로구,사직동,,,,단독다가구,72.0,32.23,143500,20251217,1911,중개거래,서울 종로구
2026,종로구,숭인동,,,,단독다가구,74.0,49.59,60000,20251217,1959,중개거래,서울 종로구
2025,종로구,숭인동,,,,단독다가구,59.0,26.45,45000,20251218,1920,중개거래,서울 종로구
2025,종로구,혜화동,,,,단독다가구,123.0,212.68,125000,20251218,1991,중개거래,서울 종로구
2026,종로구,원남동,,,,단독다가구,124.0,145.99,130000,20251218,1971,중개거래,서울 성북구
2026,종로구,원서동,,,,단독다가구,73.0,64.59,106000,20251221,2017,중개거래,서울 중구
2025,종로구,숭인동,,,,단독다가구,31.0,16.28,18500,20251222,1985,중개거래,서울 종로구
2026,종로구,신문로2가,,,,단독다가구,243.0,139.38,450000,20251222,1964,중개거래,서울 종로구
2026,종로구,신문로2가,,,,단독다가구,268.0,527.3,650000,20251222,1911,중개거래,"서울 용산구, 서울 종로구"
2026,종로구,신문로2가,,,,단독다가구,520.0,328.94,800000,20251222,1981,중개거래,서울 종로구
2026,종로구,창신동,,,,단독다가구,95.0,100.26,65000,20251229,1974,중개거래,서울 종로구
