RCPT_YR,CGG_NM,STDG_NM,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,용산구,서빙고동,,,,단독다가구,122.0,177.89,228000,20250421,1989,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,102.0,173.88,150000,20250421,1991,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,79.0,85.98,305000,20250421,2001,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,225.0,114.75,600000,20250424,1969,중개거래,"서울 서초구, 서울 용산구"
2025,용산구,보광동,,,,단독다가구,89.0,155.11,345000,20250424,1983,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,69.0,75.73,295000,20250424,1995,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,86.0,180.34,123000,20250424,1991,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,142.0,192.57,450000,20250425,1990,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,96.0,164.21,380000,20250428,1994,중개거래,서울 용산구
2025,용산구,용산동2가,,,,단독다가구,103.0,170.9,120000,20250430,1988,중개거래,서울 용산구
2025,용산구,신창동,,,,단독다가구,91.0,37.47,181277,20250430,1942,중개거래,서울 용산구
2025,용산구,신창동,,,,단독다가구,91.0,37.47,181277,20250430,1942,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,106.0,49.97,100000,20250501,1937,중개거래,"서울 성동구, 서울 용산구"
2025,용산구,한강로3가,,,,단독다가구,88.0,70.95,349600,20250501,1973,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,155.0,247.68,480000,20250502,2007,중개거래,"서울 서초구, 서울 용산구"
2025,용산구,보광동,,,,단독다가구,208.0,66.12,530000,20250502,1959,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,166.0,156.2,490000,20250502,1978,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,212.0,157.51,350000,20250502,1976,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,86.0,142.6,150000,20250506,1997,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,404.0,264.44,800000,20250507,1975,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,149.0,156.36,460000,20250507,1974,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,72.0,139.15,160000,20250508,1997,중개거래,서울 용산구
2025,용산구,용문동,,,,단독다가구,173.0,379.8,315000,20250508,1995,중개거래,서울 용산구
2025,용산구,용문동,,,,단독다가구,175.0,257.58,318000,20250508,1995,중개거래,서울 용산구
2025,용산구,청파동3가,,,,단독다가구,58.0,143.47,108000,20250512,2009,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,83.0,111.41,300000,20250513,1993,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,93.0,143.68,215240,20250516,1991,직거래,
2025,용산구,후암동,,,,단독다가구,58.0,46.28,88000,20250517,1935,중개거래,서울 용산구
2025,용산구,한강로3가,,,,단독다가구,73.0,53.69,140000,20250520,2014,직거래,
2025,용산구,이태원동,,,,단독다가구,79.0,94.78,80000,20250520,1979,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,122.0,168.77,362000,20250521,1991,중개거래,서울 성북구
2025,용산구,서계동,,,,단독다가구,52.0,18.74,70000,20250521,1929,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,178.0,99.36,345000,20250522,1987,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,89.0,101.59,310000,20250522,1992,중개거래,서울 용산구
2025,용산구,한강로2가,,,,단독다가구,72.0,45.36,220000,20250522,1985,중개거래,서울 용산구
2025,용산구,한강로2가,,,,단독다가구,72.0,45.36,220000,20250522,1985,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,79.0,123.89,360000,20250524,1991,중개거래,서울 용산구
2025,용산구,한강로3가,,,,단독다가구,62.0,53.87,185000,20250524,1966,중개거래,"경기 과천시, 서울 용산구"
2025,용산구,보광동,,,,단독다가구,64.0,178.04,320000,20250526,1992,중개거래,서울 용산구
2025,용산구,한남동,,,,단독다가구,222.0,420.93,411200,20250527,1996,직거래,
2025,용산구,원효로3가,,,,단독다가구,119.0,51.11,90000,20250527,1958,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,109.0,149.25,370000,20250529,1993,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,96.0,46.94,360000,20250529,1965,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,81.0,113.16,340000,20250530,1970,중개거래,서울 용산구
2025,용산구,용산동2가,,,,단독다가구,84.0,115.81,120000,20250601,1969,중개거래,"서울 용산구, 서울 종로구"
2025,용산구,동빙고동,,,,단독다가구,184.0,269.16,650000,20250602,1992,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,43.0,46.8,300000,20250602,1998,중개거래,"서울 서대문구, 서울 용산구"
2025,용산구,청파동2가,,,,단독다가구,163.0,156.0,178000,20250603,1961,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,159.0,236.45,540000,20250604,1992,중개거래,"서울 서초구, 서울 용산구"
2025,용산구,이태원동,,,,단독다가구,106.0,132.99,220000,20250604,1978,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,169.0,242.44,600000,20250605,1997,중개거래,서울 용산구
